what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1588899086539
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1588899086549
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1588899086556
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1588899086569
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1588899086580
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1588899086580
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1588899086581
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1588899086581
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1588899086581
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1588899086593
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1588899086595
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1588899086596
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1588899086596
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1588899086597
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1588899086597
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1588899086598
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1588899086602
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1588899086615
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1588899086631
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1588899086648
started,bundle,com.altera.sbtgui.integration,13.1.0.162,"com.altera.sbtgui.integration",1588899086648
started,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1588899086649
started,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1588899086649
started,bundle,com.altera.systemconsole,13.1.0.162,"com.altera.systemconsole",1588899086649
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.162,"com.altera.systemconsole.designs.plugin",1588899086650
started,bundle,com.altera.utilities,13.1.0.162,"com.altera.utilities",1588899086650
os,sysinfo,,,"win32",1588899086652
arch,sysinfo,,,"x86",1588899086652
ws,sysinfo,,,"win32",1588899086652
locale,sysinfo,,,"zh_CN",1588899086652
processors,sysinfo,,,"8",1588899086652
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1588899086652
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1588899086652
java.specification.name,sysinfo,,,"Java Platform API Specification",1588899086652
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1588899086652
java.specification.version,sysinfo,,,"1.6",1588899086652
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1588899086652
java.version,sysinfo,,,"1.6.0_23",1588899086652
java.vm.info,sysinfo,,,"mixed mode",1588899086652
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1588899086652
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1588899086652
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1588899086652
java.vm.specification.version,sysinfo,,,"1.0",1588899086652
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1588899086652
java.vm.version,sysinfo,,,"19.0-b09",1588899086652
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1588899096343
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1588899096455
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1588899096455
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1588899096466
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1588899096849
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588899100846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588899101324
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1588899104276
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588899105996
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588899273803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588899298626
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588899363529
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588899365046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588899365921
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588899422894
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588899442354
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588899443555
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588899443775
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1588899444228
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1588899444274
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1588899444348
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1588899444348
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1588899444349
stopped,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1588899444354
stopped,bundle,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui",1588899444355
stopped,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1588899444355
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1588899444355
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1588899444355
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1588899444355
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1588899444355
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1588899444356
stopped,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1588899444356
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1588899444357
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1588899444357
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1588899444358
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1588899444358
